Country;Year;Countryyear;Consttort;Convtort;IL_PHIN1;Politterr;Torture;IL_PHIN2;Homicide;Riot;IL_PHIN3;IL_PHIN;Constrel;Constfreemov;IL_SELFU1;Freerelig;Freemove;IL_SELFU2;Propright;Secprop;IL_SELFU3;IL_SELFU;INDLIB;Constfair;Pubtrial;RL_EQL1;Judindepcor;Judindepinf;RL_EQL2;Impcourts;Intgrlegal;RL_EQL3;RL_EQL;Profjudg;Proftenure;RL_QUAL1;Confjust;Fairjust;RL_QUAL2;Confpolice;Fairpolice;RL_QUAL3;RL_QUAL;RULEOFLAW;Constfras;Constass;PS_FRAS1;Union;Memproorg;PS_FRAS2;Memhuman;Memenviron;PS_FRAS3;PS_FRAS;Constspeech;Constpress;PS_FROP1;Newsimp;Newspaper;PS_FROP2;Medinteg;Freeinternet;PS_FROP3;PS_FROP;PUBLIC;Meandistrict;Gerryman;CO_COMP1;Largpavo;Votediff;CO_COMP2;Herfindex;Seatdiff;CO_COMP3;CO_COMP;Adminhurd;Leg_thresh;CO_OPEN1;Smallpavo;Enep;CO_OPEN2;Ceilings;Funding;CO_OPEN3;CO_OPEN;COMPET;Balexleg;MC_CHECKS1;Balpowexle;Seatsgov;MC_CHECKS2;Judrev;MC_CHECKS3;MC_CHECKS;Federalism;Bicameralism;MC_VERT1;Subexp;Subrev;MC_VERT2;MC_VERT;MUTUCONS;Leglen;Gov_term;GC_GORE1;Confgov;Devbehav;GC_GORE2;Govstab;Cabchange;GC_GORE3;GC_GORE;Antigovact;Violantigov;GC_CEIM1;Mip;Rip;GC_CEIM2;Govdec;Bureau;GC_CEIM3;GP_CEIM;GOVCAP;Discinco;Discexp;TR_NOSEC1;Corrup;CPI;TR_NOSEC2;TR_NOSEC;LegFOI;TR_PTPP1;Transp;TR_PTPP3;TR_PTPP;TRANSPAR;Suffrage;Regprovap;PAR_EQPA1;Repturnined;Repturngeag;PAR_EQPA2;Repaltined;Repaltgeag;PAR_EQPA3;PAR_EQPA;Facilitat;Registr;PAR_EFPA1;Meanpart;Eff_DD;PAR_EFPA2;Petitions;Demons;PAR_EFPA3;PAR_EFPA;PARTICIP;Seatperin;No_districts;REP_SR1;Dirdem;DD_Quora;REP_SR2;Gallagindex;Issuecongr;REP_SR3;REP_SR;Constraints;Partreg;REP_DR1;Womrep;Womgov;REP_DR2;Minrep;Minpower;REP_DR3;REP_DR;REPRES;FREEDOM;CONTROL;EQUALITY;DQ
Albania;1990;Albania1990;1;1;1;3.218443319;1;2.109221659;;10.40234827;10.40234827;3.324158319;1;1;1;1;1;1;;;;1;1.823227446;1;2.452409989;1.726204994;2.648634108;;2.648634108;;4.584644839;4.584644839;2.671422234;3.600097092;1;2.300048546;;;;;;;2.300048546;2.478790194;1;1;1;;;;;;;1;1;1;1;;;;1;;1;1;1;1;1;1;;;;;;;1;3.33214456;1;2.16607228;;;;1;1;1;1.58303614;1.258187641;;;;;;1;1;;1;1;1;;;;1;;;;;;;;;4.700445975;4.700445975;;15.74676667;26.62941704;21.18809185;5.887847187;6.85515521;6.371501199;;2.052696499;2.052696499;11.43437652;;1;1;1;3.302709645;;3.302709645;1.767569882;1;1;;;;;1.630911628;;1.630911628;;;;;;;;1;3.562074699;2.281037349;;1;1;;;;1.8540249;;2.788429767;;2.788429767;3.133656894;;3.133656894;;;;2.96104333;;1;1;3.512743125;;3.512743125;;1.96142019;1.96142019;2.158054438;2.527863268;1.653332513;;;
Albania;1991;Albania1991;1;1;1;3.218443319;2.424826895;2.821635107;;10.92470096;10.92470096;3.713594234;2.98336456;14.0529764;8.518170479;4.316174663;7.384105245;5.850139954;;;;7.184155217;5.165175446;4.035976895;1;2.517988447;4.297268216;;4.297268216;;3.539123428;3.539123428;3.218092135;3.600097092;1;2.300048546;;;;;;;2.300048546;2.720619072;2.976259227;3.006322617;2.991290922;;;;;;;2.991290922;2.967661129;2.965053806;2.966357468;;;;5.081357175;;5.081357175;3.67135737;3.313924859;1;1;1;2.292071229;5.037052082;3.664561656;3.009688764;3.443003439;3.226346102;2.630302586;3.33214456;1;2.16607228;6.290144317;1.094007065;3.692075691;1;1;1;2.286049324;2.452142216;2.430105647;2.430105647;3.952876826;1.000058801;2.476467813;4.403893942;4.403893942;2.946733804;1;1;1;;;;1;1.716605314;2.690156652;4.83288536;3.761521006;;;;1.981100682;1;1.490550341;2.626035674;15.14073516;26.62941704;20.8850761;4.927734347;6.85515521;5.891444779;;2.052696499;2.052696499;11.12114765;5.404121618;1;1;1;3.302709645;;3.302709645;1.767569882;1;1;;;;;1.630911628;5.357634741;3.494273185;;;;;;;3.494273185;1;3.562074699;2.281037349;5.239571837;1;3.119785918;;;;2.700411634;3.071803373;2.79448343;;2.79448343;3.133656894;;3.133656894;5.621916501;;5.621916501;3.850018942;;1;1;1.207143698;;1.207143698;8.96324593;1.96142019;5.46233306;3.282952455;3.555197482;3.597756979;2.833438171;;
Albania;1992;Albania1992;1;1;1;4.327664978;2.424826895;3.376245936;19.63035395;11.96940632;15.79988014;6.725375357;2.98336456;14.0529764;8.518170479;2.658087331;7.384105245;5.021096288;;;;6.769633384;6.747468083;4.035976895;1;2.517988447;2.648634108;;2.648634108;;2.86700252;2.86700252;2.637903381;3.600097092;1;2.300048546;;;;;;;2.300048546;2.463190175;2.976259227;3.006322617;2.991290922;;;;;;;2.991290922;2.967661129;2.965053806;2.966357468;;;;5.038129912;;5.038129912;3.656948282;3.307415335;2.000496894;1;1.500248447;1.840636505;3.602835504;2.721736004;3.370024154;3.388757269;3.379390711;2.533791721;3.33214456;3.946380704;3.639262632;6.067215881;1.11039078;3.588803331;1;1;1;2.742688654;2.636171809;4.575264118;4.575264118;4.281146729;1.00242296;2.641784845;4.403893942;4.403893942;3.565681937;1;1;1;;;;1;1.888301337;2.690156652;4.83288536;3.761521006;;;;2.68029629;4.700445975;3.690371132;3.725946069;17.36285069;26.62941704;21.99613386;5.189583303;6.85515521;6.022369257;;2.052696499;2.052696499;11.61794055;6.579347986;1;1;1;2.727032234;;2.727032234;1.575677411;1;1;;;;;1.630911628;5.09741705;3.364164339;;;;;;;3.364164339;1;3.562074699;2.281037349;4.693622114;1;2.846811057;;;;2.563924203;2.93691375;2.749643152;3.744150062;3.246896607;3.133656894;;3.133656894;6.651022733;;6.651022733;4.06961821;;1;1;1.396274901;;1.396274901;9.252522501;1.96142019;5.606971345;3.402554398;3.721168814;3.802266087;3.199454632;;
Albania;1993;Albania1993;4.646017886;1;2.823008943;4.327664978;2.424826895;3.376245936;19.62861292;12.491759;16.06018596;7.419813614;2.98336456;14.0529764;8.518170479;2.658087331;7.384105245;5.021096288;;;;6.769633384;7.087271544;4.035976895;2.452409989;3.244193442;2.648634108;;2.648634108;;3.987204033;3.987204033;3.281056256;3.600097092;1;2.300048546;;;;;;;2.300048546;2.747105508;2.976259227;3.006322617;2.991290922;;;;;;;2.991290922;2.967661129;2.965053806;2.966357468;;;;4.86881684;;4.86881684;3.600510592;3.281794425;2.000496894;1;1.500248447;1.712334005;3.195216055;2.45377503;3.370024154;3.373339936;3.371682045;2.441901841;3.33214456;3.946380704;3.639262632;6.003857273;1.115047204;3.559452239;1;1;1;2.732904957;2.583309049;4.575264118;4.575264118;4.281146729;1.00242296;2.641784845;4.403893942;4.403893942;3.565681937;1;1;1;;;;1;1.888301337;2.690156652;4.83288536;3.761521006;;;;2.68029629;4.700445975;3.690371132;3.725946069;16.95882968;26.62941704;21.79412336;5.189583303;6.85515521;6.022369257;;2.052696499;2.052696499;11.53713635;6.556427977;1;1;1;3.302709645;;3.302709645;1.767569882;1;1;;;;;1.630911628;5.09741705;3.364164339;;;;;;;3.364164339;1;3.562074699;2.281037349;4.693622114;1;2.846811057;;;;2.563924203;2.93691375;2.007836047;3.744150062;2.875993054;3.133656894;;3.133656894;6.943505557;;6.943505557;3.95728714;;1;1;1.396274901;;1.396274901;9.252522501;1.96142019;5.606971345;3.402554398;3.669452924;3.997807961;3.174229476;;
Albania;1994;Albania1994;4.646017886;4.678041254;4.66202957;3.218443319;2.424826895;2.821635107;19.63100455;12.491759;16.06138177;7.848348817;2.98336456;14.0529764;8.518170479;4.316174663;7.384105245;5.850139954;;;;7.184155217;7.508911778;4.035976895;2.452409989;3.244193442;4.297268216;;4.297268216;;5.182085646;5.182085646;3.991935186;3.600097092;1;2.300048546;;;;;;;2.300048546;3.030122889;2.976259227;3.006322617;2.991290922;;;;;;;2.991290922;2.967661129;2.965053806;2.966357468;;;;4.920373512;;4.920373512;3.617696149;3.28961725;2.000496894;1;1.500248447;1.712334005;3.195216055;2.45377503;3.370024154;3.373339936;3.371682045;2.441901841;3.33214456;3.946380704;3.639262632;6.003857273;1.115047204;3.559452239;1;1;1;2.732904957;2.583309049;4.575264118;4.575264118;4.196574613;1.00307154;2.599823076;4.403893942;4.403893942;3.544701053;1;1;1;;;;1;1.882737649;2.690156652;4.83288536;3.761521006;;;;1.785960014;4.700445975;3.243202994;3.502362;17.36285069;26.62941704;21.99613386;5.189583303;6.85515521;6.022369257;;2.052696499;2.052696499;11.61794055;6.378889676;1;1;1;3.302709645;;3.302709645;1.767569882;1;1;;;;;1.630911628;5.09741705;3.364164339;;;;;;;3.364164339;1;3.562074699;2.281037349;4.693622114;2.78203969;3.737830902;;;;3.009434126;3.181859671;2.022704072;3.744150062;2.883427067;3.133656894;;3.133656894;6.943505557;;6.943505557;3.961004146;;1;1;1.396274901;;1.396274901;9.252522501;1.96142019;5.606971345;3.402554398;3.671175844;4.21432028;3.142223612;;
Albania;1995;Albania1995;4.646017886;4.678041254;4.66202957;3.218443319;2.424826895;2.821635107;19.62773593;12.491759;16.05974746;7.847804047;2.98336456;14.0529764;8.518170479;2.658087331;7.384105245;5.021096288;2.817434405;;2.817434405;5.979193588;6.850075886;4.035976895;2.452409989;3.244193442;2.648634108;;2.648634108;;5.182085646;5.182085646;3.579776659;3.600097092;1;2.300048546;4.47603585;;4.47603585;4.34336035;;4.34336035;3.354873323;3.465501005;2.976259227;3.006322617;2.991290922;;2.698642291;2.698642291;1.220033927;1.301405976;1.260719951;2.240532808;2.967661129;2.965053806;2.966357468;;;;4.913824516;;4.913824516;3.61551315;2.846168623;2.000496894;1;1.500248447;1.712334005;3.195216055;2.45377503;3.370024154;3.373339936;3.371682045;2.441901841;3.33214456;3.946380704;3.639262632;6.003857273;1.115047204;3.559452239;1;1;1;2.732904957;2.583309049;4.575264118;4.575264118;4.196574613;1.00307154;2.599823076;4.403893942;4.403893942;3.544701053;1;1;1;2.361213464;1.119554179;1.740383821;1.370191911;2.20384226;2.690156652;4.83288536;3.761521006;3.282402112;1.459360698;2.370881405;1.785960014;4.700445975;3.243202994;3.125201802;17.36285069;26.62941704;21.99613386;5.189583303;6.85515521;6.022369257;;2.052696499;2.052696499;11.61794055;6.025645918;1;1;1;3.174781331;;3.174781331;1.72492711;1;1;;;;;1.630911628;5.09741705;3.364164339;5.231734184;4.371976985;4.801855584;6.599950304;3.566366858;5.083158581;4.416392835;1;3.562074699;2.281037349;4.693622114;1;2.846811057;2.297584705;3.608224507;2.952904606;2.693584338;3.449047197;2.035578262;3.744150062;2.889864162;3.133656894;;3.133656894;6.943505557;;6.943505557;3.964222694;;1;1;1.396274901;2.109665085;1.752969993;9.252522501;1.96142019;5.606971345;3.143976535;3.530357366;4.072933752;3.249277675;;
Albania;1996;Albania1996;4.646017886;4.678041254;4.66202957;3.218443319;1;2.109221659;19.62673603;12.491759;16.05924751;7.610166248;4.96672912;14.0529764;9.509852759;2.658087331;7.384105245;5.021096288;2.817434405;;2.817434405;6.3758665;6.96573069;4.035976895;2.452409989;3.244193442;2.648634108;;2.648634108;;4.584644839;4.584644839;3.430416458;3.600097092;1;2.300048546;4.47603585;;4.47603585;4.34336035;;4.34336035;3.354873323;3.392434621;4.952518453;5.012645235;4.982581844;;2.698642291;2.698642291;1.220033927;1.301405976;1.260719951;3.037049176;4.935322259;4.930107611;4.932714935;1.034352175;;1.034352175;5.050087611;;5.050087611;3.987467414;3.479961871;1.030847797;1;1.015423899;2.099972023;3.271062435;2.685517229;1;1.587526893;1.293763447;1.664901525;3.33214456;1.828896713;2.580520636;5.929962508;1.312556367;3.621259437;1;1;1;2.400593358;1.99918772;4.575264118;4.575264118;1;1.000012668;1.000006334;4.403893942;4.403893942;2.744792682;1;1;1;2.340742733;1.184117489;1.762430111;1.381215055;1.947087306;2.690156652;4.83288536;3.761521006;3.282402112;1.459360698;2.370881405;2.607243137;4.700445975;3.653844556;3.262082322;17.16084019;26.62941704;21.89512861;5.189583303;6.85515521;6.022369257;;2.052696499;2.052696499;11.57753845;6.14547667;1;1;1;2.343247293;;2.343247293;1.447749098;1;1;;;;;1.630911628;5.360903359;3.495907494;5.231734184;4.371976985;4.801855584;6.599950304;3.566366858;5.083158581;4.46030722;1;3.562074699;2.281037349;4.51556304;1;2.75778152;2.297584705;3.608224507;2.952904606;2.663907825;3.447005556;2.045355514;3.827432053;2.936393784;3.133656894;;3.133656894;4.482922799;;4.482922799;3.372341815;;1;1;1.972674758;1.367576559;1.670125659;8.990796631;1.96142019;5.47610841;3.058493628;3.211586205;4.348614243;2.881364438;;
Albania;1997;Albania1997;4.646017886;4.678041254;4.66202957;2.109221659;1;1.55461083;19.59031196;6.745879501;13.16809573;6.461578709;4.96672912;14.0529764;9.509852759;2.658087331;7.384105245;5.021096288;2.817434405;;2.817434405;6.3758665;6.418579534;4.035976895;2.452409989;3.244193442;2.648634108;;2.648634108;;3.539123428;3.539123428;3.169036105;3.600097092;1;2.300048546;4.47603585;;4.47603585;4.34336035;;4.34336035;3.354873323;3.260631026;4.952518453;5.012645235;4.982581844;;2.698642291;2.698642291;1.220033927;1.301405976;1.260719951;3.037049176;4.935322259;4.930107611;4.932714935;1.110471447;;1.110471447;5.116327946;;5.116327946;4.023057316;3.495457468;1.072442569;1;1.036221285;2.492467108;3.721955666;3.107211387;3.791713143;1.604807569;2.698260356;2.280564343;3.33214456;2.429685911;2.880915236;6.08902959;1.463786585;3.776408088;1;1;1;2.552441108;2.412676144;4.575264118;4.575264118;2.557508652;1.000629678;1.779069165;4.403893942;4.403893942;3.134324098;1;1;1;2.137505733;1.076158376;1.606832055;1.303416027;2.021219499;2.690156652;4.83288536;3.761521006;3.282402112;1.459360698;2.370881405;1.54887883;2.850222987;2.199550909;2.777317773;15.54475617;26.55919945;21.05197781;5.189583303;6.85515521;6.022369257;;2.052696499;2.052696499;11.24027813;5.587291313;1;1;1;1.959462352;;1.959462352;1.319820784;1;1;;;;;1.630911628;4.034695944;2.832803786;5.231734184;4.371976985;4.801855584;6.599950304;3.566366858;5.083158581;4.23927265;1;3.562074699;2.281037349;3.300052336;1;2.150026168;2.297584705;3.608224507;2.952904606;2.461322708;3.230204024;2.05256688;3.827432053;2.939999467;3.133656894;;3.133656894;4.202070665;;4.202070665;3.303931623;;1;1;1.351243663;;1.351243663;8.990796631;1.96142019;5.47610841;3.325865121;3.314880231;4.182296982;3.009109152;;
Albania;1998;Albania1998;4.646017886;4.678041254;4.66202957;3.218443319;2.424826895;2.821635107;19.61184407;11.44705364;15.52944885;7.671037843;4.96672912;14.0529764;9.509852759;4.316174663;7.384105245;5.850139954;1.908717202;;1.908717202;6.525740526;7.075252824;4.035976895;2.452409989;3.244193442;2.648634108;;2.648634108;;3.688483629;3.688483629;3.206376155;3.600097092;1;2.300048546;4.47603585;;4.47603585;4.34336035;;4.34336035;3.354873323;3.279784418;4.952518453;5.012645235;4.982581844;;2.698642291;2.698642291;1.220033927;1.301405976;1.260719951;3.037049176;4.935322259;4.930107611;4.932714935;1.101574882;;1.101574882;5.078739279;;5.078739279;4.011436008;3.490405195;1.072442569;1;1.036221285;2.622621666;4.107439688;3.365030677;3.791713143;2.761966687;3.276839915;2.559363959;3.33214456;2.429685911;2.880915236;6.289303968;1.483183984;3.886243976;1;1;1;2.58905307;2.574165713;4.575264118;4.575264118;3.717188733;1.000629678;2.358909206;4.403893942;4.403893942;3.424244118;1;1;1;2.057327519;1.052949855;1.555138687;1.277569343;2.091580577;2.690156652;4.83288536;3.761521006;3.282402112;1.459360698;2.370881405;1.370621075;2.850222987;2.110422031;2.747608147;17.16084019;26.62941704;21.89512861;4.316753448;6.85515521;5.585954329;;2.052696499;2.052696499;11.40297248;5.59740119;3.451940008;3.455256455;3.453598232;2.535139763;;2.535139763;3.147445409;2.714335082;2.714335082;;;;;1.630911628;4.034695944;2.832803786;5.231734184;4.371976985;4.801855584;6.599950304;3.566366858;5.083158581;4.23927265;1;3.562074699;2.281037349;3.300052336;1;2.150026168;2.297584705;3.608224507;2.952904606;2.461322708;3.230204024;2.15823359;3.827432053;2.992832821;3.133656894;;3.133656894;5.503265992;;5.503265992;3.655647132;2.343279999;1;1.67164;1.351243663;1.728217712;1.539730687;8.990796631;1.96142019;5.47610841;2.895826366;3.253631717;4.326675947;3.111949297;;
Albania;1999;Albania1999;4.646017886;4.678041254;4.66202957;3.218443319;1;2.109221659;19.61612333;12.491759;16.05394117;7.608397466;4.96672912;14.0529764;9.509852759;4.316174663;5.788078934;5.052126798;1.908717202;;1.908717202;6.206535264;6.871811055;4.035976895;2.452409989;3.244193442;2.648634108;;2.648634108;;3.165722924;3.165722924;3.075685979;3.600097092;1;2.300048546;4.47603585;;4.47603585;4.34336035;;4.34336035;3.354873323;3.212247942;4.952518453;5.012645235;4.982581844;;2.698642291;2.698642291;1.220033927;1.301405976;1.260719951;3.037049176;4.935322259;4.930107611;4.932714935;1.088068699;;1.088068699;5.171496751;;5.171496751;4.03124883;3.499014281;1.072442569;1;1.036221285;2.622621666;4.107439688;3.365030677;3.791713143;2.761966687;3.276839915;2.559363959;3.33214456;2.429685911;2.880915236;6.289303968;1.483183984;3.886243976;1;1;1;2.58905307;2.574165713;4.575264118;4.575264118;3.717188733;1.000629678;2.358909206;4.403893942;4.403893942;3.424244118;1;1;1;;;;1;1.850471323;2.690156652;4.83288536;3.761521006;3.282402112;1.459360698;2.370881405;2.082994316;4.700445975;3.391720146;3.174707519;17.36285069;26.62941704;21.99613386;3.793055535;6.001278409;4.897166972;;2.052696499;2.052696499;11.16785963;5.954383927;3.451940008;3.455256455;3.453598232;2.023426509;1.481693812;1.75256016;2.603079196;2.714335082;2.714335082;;;;;1.630911628;4.034695944;2.832803786;5.231734184;4.371976985;4.801855584;6.599950304;3.566366858;5.083158581;4.23927265;1;3.562074699;2.281037349;3.300052336;1;2.150026168;2.297584705;3.608224507;2.952904606;2.461322708;3.230204024;2.160678666;3.827432053;2.99405536;3.133656894;;3.133656894;5.503265992;;5.503265992;3.656258401;2.343279999;1;1.67164;1.351243663;2.040311017;1.69577734;8.990796631;1.96142019;5.47610841;2.947841917;3.282997376;4.258683138;3.049663332;;
